text,category,severity
"Cannot edit shared Excel file due to permission error.","Access / Permission","Medium"
"Email client crashes when searching old messages.","Email Issue","High"
"Network loop suspected—very high packet loss.","Network Issue","High"
"Excel date fields auto-convert incorrectly.","Office/Excel Issue","Low"
"Our internal chat tool fails to send messages.","Software Bug","Medium"
"Keyboard backlight not working.","Hardware Problem","Low"
"VPN login screen hangs indefinitely.","VPN / Connectivity","High"
"Requesting admin approval to manage user accounts.","Access / Permission","High"
"Emails stuck in outbox for long periods.","Email Issue","Medium"
"Internet access intermittent on wired connections.","Network Issue","Medium"
"Excel refuses inputting formulas in some cells.","Office/Excel Issue","Low"
"Internal HR system throws JS errors in browser.","Software Bug","Low"
"My laptop won't wake from sleep mode.","Hardware Problem","Medium"
"VPN drops when changing physical location.","VPN / Connectivity","High"
"Need collaborator access on research documents.","Access / Permission","Low"
"Email calendar invites not syncing properly.","Email Issue","Medium"
"Wi-Fi devices unable to obtain IP address.","Network Issue","High"
"Excel window appears blank after opening a file.","Office/Excel Issue","High"
"Internal API rate limit triggers false positives.","Software Bug","Medium"
"Touchpad stops responding after 20 minutes.","Hardware Problem","Low"
"VPN authentication timeout too short.","VPN / Connectivity","Medium"
"Permissions missing for shared vendor folders.","Access / Permission","Low"
"Email client freezes when switching folders.","Email Issue","Medium"
"Network bandwidth drops to zero frequently.","Network Issue","High"
"Excel column filters behave inconsistently.","Office/Excel Issue","Low"
"Dashboard widget not loading in internal tools.","Software Bug","Medium"
"Bluetooth keyboard lags during typing.","Hardware Problem","Low"
"VPN connection fails on mobile hotspot.","VPN / Connectivity","High"
"Access required for end-of-month reporting.","Access / Permission","Medium"
"Email auto-forwarding sends duplicates.","Email Issue","Low"
"Network DHCP server unresponsive.","Network Issue","High"
"Excel crashes when applying data validation.","Office/Excel Issue","Medium"
"Bug: Notifications not triggering alerts.","Software Bug","Low"
"Laptop audio output randomly disappears.","Hardware Problem","Medium"
"VPN client repeatedly asks for MFA code.","VPN / Connectivity","High"
"Need write permissions to update product sheets.","Access / Permission","Medium"
"Cannot delete emails—permission denied.","Email Issue","Medium"
"Wi-Fi router overloaded with too many devices.","Network Issue","High"
"Excel file opens in read-only without reason.","Office/Excel Issue","Medium"
"UI bug: Dropdowns not working in internal tool.","Software Bug","Low"
"USB ports intermittently not detecting devices.","Hardware Problem","Low"
"VPN rejects connection from certain networks.","VPN / Connectivity","Medium"
"I cannot edit my team's shared folders.","Access / Permission","Low"
"Incoming emails delayed for 15–20 minutes.","Email Issue","Medium"
"Network shares unavailable after Windows update.","Network Issue","High"
"Excel formula auto-correcting incorrectly.","Office/Excel Issue","Low"
"Internal system stuck loading for certain roles.","Software Bug","High"
"Screen brightness randomly reduces.","Hardware Problem","Low"
"VPN freezes during large data transfers.","VPN / Connectivity","High"
"Need admin access for software deployment.","Access / Permission","High"
"Email not syncing across desktop and mobile.","Email Issue","Medium"
"Network authentication failure across multiple users.","Network Issue","High"
"Excel add-in crashes on load.","Office/Excel Issue","Medium"
"Critical script failures in marketing tool.","Software Bug","High"
"Laptop fan extremely loud on startup.","Hardware Problem","Low"
"VPN disconnects when opening video conference apps.","VPN / Connectivity","High"
"Permission error when renaming shared files.","Access / Permission","Low"
"Email attachments corrupted on receipt.","Email Issue","High"
"Frequent packet loss affecting entire network.","Network Issue","High"
"Excel workbook links breaking unexpectedly.","Office/Excel Issue","Medium"
"Software installer missing required dependencies.","Software Bug","Medium"
"My trackpad gestures stop working intermittently.","Hardware Problem","Low"
"VPN client crashes immediately after launching.","VPN / Connectivity","High"
"Need approval to access security audit logs.","Access / Permission","High"
"Emails displaying broken HTML formatting.","Email Issue","Low"
"Network outages occurring during scheduled maintenance.","Network Issue","Medium"
"Excel export functionality freezes during processing.","Office/Excel Issue","High"
"Internal tool search indexing broken.","Software Bug","Medium"
"Laptop freezes occasionally when waking from sleep.","Hardware Problem","Low"
"VPN rejects user after two-factor authentication.","VPN / Connectivity","High"
"Cannot remove outdated access permissions.","Access / Permission","Medium"
"Email drafts not auto-saving consistently.","Email Issue","Medium"
"Network cable suspected faulty in server rack.","Network Issue","Low"
"Excel UI elements not rendering properly.","Office/Excel Issue","Medium"
"Bug: Reporting module not loading charts.","Software Bug","High"
"Laptop fan spins at maximum unexpectedly.","Hardware Problem","Medium"
"VPN connection speed extremely slow on mobile network.","VPN / Connectivity","Medium"
"Need permissions to update attendance sheets.","Access / Permission","Low"
"Email autofill selects wrong address.","Email Issue","Low"
"DHCP server handing out duplicate IPs.","Network Issue","High"
"Excel document protection feature not working.","Office/Excel Issue","Low"
"Application shows blank white screen on startup.","Software Bug","High"
"My display randomly turns pink or green.","Hardware Problem","Low"
"VPN app stuck checking system configuration.","VPN / Connectivity","Medium"
"Need access to modify travel expense forms.","Access / Permission","Low"
"Email contacts disappearing from address book.","Email Issue","High"
"Network routing table misconfigured.","Network Issue","High"
"Excel cannot open older .xls files.","Office/Excel Issue","Medium"
"Mobile app fails to push notifications.","Software Bug","Low"
"USB keyboard disconnects during heavy typing.","Hardware Problem","Low"
"VPN connection drops every time I change location.","VPN / Connectivity","High"
"Requesting access to edit vendor list.","Access / Permission","Medium"
"Email duplicates show in inbox after refresh.","Email Issue","Low"
"Network inconsistencies causing CI/CD failures.","Network Issue","Medium"
"Excel charts not updating with new data.","Office/Excel Issue","Low"
"App displays error 'undefined variable' during load.","Software Bug","Medium"
"My laptop makes electrical buzzing noise.","Hardware Problem","Low"
"VPN times out only during high network load.","VPN / Connectivity","Medium"
"I need admin access to manage team accounts.","Access / Permission","High"
"Emails failing to load older conversations.","Email Issue","Medium"
"Network jitter affecting online meetings.","Network Issue","High"
"Excel misaligns columns when copying data.","Office/Excel Issue","Low"
"Bug: Search bar not returning full results.","Software Bug","Low"
"Keyboard keys getting stuck intermittently.","Hardware Problem","Low"
"VPN disconnects during LAN to Wi-Fi switch.","VPN / Connectivity","Medium"
"Need permissions to delete outdated project files.","Access / Permission","Medium"
"Emails marked as read automatically.","Email Issue","Low"
"Wi-Fi AP overloaded; devices unable to connect.","Network Issue","High"
"Excel cannot load data model in workbook.","Office/Excel Issue","High"
"Internal software crashes when printing documents.","Software Bug","Medium"
"Laptop randomly shows a blue screen.","Hardware Problem","High"
"VPN authentication server unreachable.","VPN / Connectivity","High"
"Need edit rights for corporate guidelines folder.","Access / Permission","Low"
"Email digest messages not delivered.","Email Issue","Medium"
"Network printer unreachable from several PCs.","Network Issue","Medium"
"Excel file opens extremely slowly.","Office/Excel Issue","Low"
"Bug: UI elements overlap on mobile view.","Software Bug","Low"
"My docking station fails to detect peripherals.","Hardware Problem","Medium"
"VPN refuses to connect over Ethernet.","VPN / Connectivity","Medium"
"Access request pending for over 48 hours.","Access / Permission","High"
"Email client crashes during large attachment download.","Email Issue","High"
"Random Wi-Fi disconnections in meeting rooms.","Network Issue","Medium"
"Excel slicer not filtering data correctly.","Office/Excel Issue","Medium"
"Internal CMS freezes when editing content.","Software Bug","Medium"
"Webcam not working during calls.","Hardware Problem","Low"
"VPN broken after OS update.","VPN / Connectivity","High"
"Need permission to update staff training records.","Access / Permission","Medium"
"Email preview pane not loading message bodies.","Email Issue","Medium"
"Network instability affecting shared drives.","Network Issue","Medium"
"Excel conditional formats disappear after refresh.","Office/Excel Issue","Medium"
"Bug: Application silently fails on form submit.","Software Bug","High"
"My laptop keyboard intermittently unresponsive.","Hardware Problem","Medium"
"VPN connection freezes while loading configuration.","VPN / Connectivity","Medium"
"Need permissions to copy files into shared project.","Access / Permission","Low"
"Email sync delays up to 10 minutes.","Email Issue","Low"
"Network card resets unexpectedly.","Network Issue","Low"
"Excel formulas referencing external sheets break.","Office/Excel Issue","Medium"
"Internal tool buttons not responding on click.","Software Bug","High"
"Laptop screen shows occasional artifacts.","Hardware Problem","Medium"
"VPN authentication fails on first attempt each time.","VPN / Connectivity","Low"
"Access denied when moving files within department folder.","Access / Permission","Medium"
"Emails missing attachments when received.","Email Issue","High"
"Building-wide Wi-Fi outage reported.","Network Issue","High"
"Excel refuses to load add-ins on startup.","Office/Excel Issue","Medium"
"Internal issue tracker unable to create new tickets.","Software Bug","High"
"Laptop loses power even when charger plugged in.","Hardware Problem","High"
"VPN unstable when switching networks frequently.","VPN / Connectivity","High"
"Access needed to modify onboarding workflow.","Access / Permission","Low"
"Email address auto-complete showing outdated contacts.","Email Issue","Low"
"Network extremely slow between buildings.","Network Issue","Medium"
"Excel crashes while calculating large formulas.","Office/Excel Issue","High"
"Critical failure: Inventory system not updating orders.","Software Bug","High"
"Hardware issue: Laptop hinge making loud cracking noise.","Hardware Problem","Low"
